"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/cf3a2a24695f60f64ac9d5eb26a24b26d2a8a816","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"ICEC","Ice cover","Proportion","UC_NONE"
1,"ICETK","Ice thinkness","m","UC_NONE"
2,"DICED","Direction of ice drift","Degree true","UC_NONE"
3,"SICED","Speed of ice drift","m/s","UC_NONE"
4,"UICE","u-component of ice drift","m/s","UC_NONE"
5,"VICE","v-component of ice drift","m/s","UC_NONE"
6,"ICEG","Ice growth rate","m/s","UC_NONE"
7,"ICED","Ice divergence","1/s","UC_NONE"
8,"ICET","Ice temperature","K","UC_NONE"
9,"ICEPRS","Module of Ice Internal Pressure","Pa*m","UC_NONE"
10,"ZVCICEP","Zonal Vector Component of Vertically Integrated Ice Internal Pressure","Pa*m","UC_NONE"
11,"MVCICEP","Meridional Vector Component of Vertically Integrated Ice Internal Pressure","Pa*m","UC_NONE"
12,"CICES","Compressive Ice Strength","N/m","UC_NONE"
13,"","Snow temperature (over sea ice)","K","UC_NONE"
14,"","Albedo","Numeric","UC_NONE"
15,"","Sea ice volume per unit area","m3 m-2","UC_NONE"
16,"","Snow volume over sea ice per unit area","m3 m-2","UC_NONE"
17,"","Sea ice heat content","J m-2","UC_NONE"
18,"","Snow over sea ice heat content","J m-2","UC_NONE"
19,"","Ice freeboard thickness","m","UC_NONE"
20,"","Ice melt pond fraction","fraction","UC_NONE"
21,"","Ice melt pond depth","m","UC_NONE"
22,"","Ice melt pond volume per unit area","m3 m-2","UC_NONE"
23,"","Sea ice fraction tendency due to parameterization","s-1","UC_NONE"
24,"","Reserved","","UC_NONE"
25,"","Reserved","","UC_NONE"
26,"","Reserved","","UC_NONE"
27,"","Reserved","","UC_NONE"
28,"","Reserved","","UC_NONE"
29,"","Reserved","","UC_NONE"
30,"","Reserved","","UC_NONE"
31,"","Reserved","","UC_NONE"
32,"","Reserved","","UC_NONE"
33,"","Reserved","","UC_NONE"
34,"","Reserved","","UC_NONE"
35,"","Reserved","","UC_NONE"
36,"","Reserved","","UC_NONE"
37,"","Reserved","","UC_NONE"
38,"","Reserved","","UC_NONE"
39,"","Reserved","","UC_NONE"
40,"","Reserved","","UC_NONE"
41,"","Reserved","","UC_NONE"
42,"","Reserved","","UC_NONE"
43,"","Reserved","","UC_NONE"
44,"","Reserved","","UC_NONE"
45,"","Reserved","","UC_NONE"
46,"","Reserved","","UC_NONE"
47,"","Reserved","","UC_NONE"
48,"","Reserved","","UC_NONE"
49,"","Reserved","","UC_NONE"
50,"","Reserved","","UC_NONE"
51,"","Reserved","","UC_NONE"
52,"","Reserved","","UC_NONE"
53,"","Reserved","","UC_NONE"
54,"","Reserved","","UC_NONE"
55,"","Reserved","","UC_NONE"
56,"","Reserved","","UC_NONE"
57,"","Reserved","","UC_NONE"
