"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/cf3a2a24695f60f64ac9d5eb26a24b26d2a8a816","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"","Interface sea-surface temperature","K","UC_NONE"
1,"","Skin sea-surface temperature","K","UC_NONE"
2,"","Sub-skin sea-surface temperature","K","UC_NONE"
3,"","Foundation sea-surface temperature","K","UC_NONE"
4,"","Estimated bias between sea-surface temperature and standard","K","UC_NONE"
5,"","Estimated standard deviation between sea surface temperature and standard","K","UC_NONE"
