"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/cf3a2a24695f60f64ac9d5eb26a24b26d2a8a816","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"VIS","Visibility","m","UC_M2StatuteMile"
1,"ALBDO","Albedo","%","UC_NONE"
2,"TSTM","Thunderstorm probability","%","UC_NONE"
3,"MIXHT","Mixed layer depth","m","UC_NONE"
4,"VOLASH","Volcanic ash","0=Not present; 1=Present; 2-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
5,"ICIT","Icing top","m","UC_NONE"
6,"ICIB","Icing base","m","UC_NONE"
7,"ICI","Icing","0=None; 1=Light; 2=Moderate; 3=Severe; 4=Trace; 5=Heavy; 6-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
8,"TURBT","Turbulance top","m","UC_NONE"
9,"TURBB","Turbulence base","m","UC_NONE"
10,"TURB","Turbulance","0=None (smooth); 1=Light; 2=Moderate; 3=Severe; 4=Extreme; 5-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
11,"TKE","Turbulent kinetic energy","J/kg","UC_NONE"
12,"PBLREG","Planetary boundary layer regime","0=Reserved; 1=Stable; 2=Mechanically driven turbulence; 3=Forced convection; 4=Free convection; 5-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
13,"CONTI","Contrail intensity","0=Contrail not present; 1=Contrail present; 2-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
14,"CONTET","Contrail engine type","0=Low bypass; 1=High bypass; 2=Non-bypass; 3-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
15,"CONTT","Contrail top","m","UC_NONE"
16,"CONTB","Contrail base","m","UC_NONE"
17,"MXSALB","Maximum snow albedo","%","UC_NONE"
18,"SNFALB","Snow free albedo","%","UC_NONE"
19,"SALBD","Snow albedo","%","UC_NONE"
20,"ICIP","Icing","%","UC_NONE"
21,"CTP","In-Cloud Turbulence","%","UC_NONE"
22,"CAT","Clear Air Turbulence","%","UC_NONE"
23,"SLDP","Supercooled Large Droplet Probability","%","UC_NONE"
24,"CONTKE","Convective Turbulent Kinetic Energy","J/kg","UC_NONE"
25,"WIWW","Weather Interpretation ww (WMO)","=(see FM 94 BUFR/FM 95 CREX Code table 0 20 003 - Present weather)","UC_NONE"
26,"CONVO","Convective Outlook","0=No risk area; 1=Reserved; 2=General thunderstorm risk area; 3=Reserved; 4=Slight risk area; 5=Reserved; 6=Moderate risk area; 7=Reserved; 8=High risk area; 9-10=Reserved; 11=Dry thunderstorm (dry lightning) risk area; 12-13=Reserved; 14=Critical risk area; 15-17=Reserved; 18=Extremely critical risk area; 19-254=Reserved; 255=Missing","UC_NONE"
