"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/a3711da874bc936639c4e4f26fa91c4b02659e61","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"CICE","Cloud Ice","kg/(m^2)","UC_NONE"
1,"TCDC","Total cloud cover","%","UC_NONE"
2,"CDCON","Convective cloud cover","%","UC_NONE"
3,"LCDC","Low cloud cover","%","UC_NONE"
4,"MCDC","Medium cloud cover","%","UC_NONE"
5,"HCDC","High cloud cover","%","UC_NONE"
6,"CWAT","Cloud water","kg/(m^2)","UC_NONE"
7,"CDCA","Cloud amount","%","UC_NONE"
8,"CDCT","Cloud type","0=Clear; 1=Cumulonimbus; 2=Stratus; 3=Stratocumulus; 4=Cumulus; 5=Altostratus; 6=Nimbostratus; 7=Altocumulus; 8=Cirrostratus; 9=Cirrocumulus; 10=Cirrus; 11=Cumulonimbus - ground-based fog beneath the lowest layer; 12=Stratus - ground-based fog beneath the lowest layer; 13=Stratocumulus - ground-based fog beneath the lowest layer; 14=Cumulus - ground-based fog beneath the lowest layer; 15=Altostratus - ground-based fog beneath the lowest layer; 16=Nimbostratus - ground-based fog beneath the lowest layer; 17=Altocumulus - ground-based fog beneath the lowest layer; 18=Cirrostratus - ground-based fog beneath the lowest layer; 19=Cirrocumulus - ground-based fog beneath the lowest layer; 20=Cirrus - ground-based fog beneath the lowest layer; 21-190=Reserved; 191=Unknown; 192-254=Reserved for local use; 255=Missing","UC_NONE"
9,"TMAXT","Thunderstorm maximum tops","m","UC_NONE"
10,"THUNC","Thunderstorm coverage","0=None; 1=Isolated (1-2%); 2=Few (3-5%); 3=Scattered (6-45%); 4=Numerous (> 45%); 5-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
11,"CDCB","Cloud base","m","UC_M2Feet"
12,"CDCT","Cloud top","m","UC_M2Feet"
13,"CEIL","Ceiling","m","UC_M2Feet"
14,"CDLYR","Non-convective cloud cover","%","UC_NONE"
15,"CWORK","Cloud work function","J/kg","UC_NONE"
16,"CUEFI","Convective cloud efficiency","-","UC_NONE"
17,"TCOND","Total condensate","kg/kg","UC_NONE"
18,"TCOLW","Total column-integrated cloud water","kg/(m^2)","UC_NONE"
19,"TCOLI","Total column-integrated cloud ice","kg/(m^2)","UC_NONE"
20,"TCOLC","Total column-integrated condensate","kg/(m^2)","UC_NONE"
21,"FICE","Ice fraction of total condensate","-","UC_NONE"
22,"CDCC","Cloud cover","%","UC_NONE"
23,"CDCIMR","Cloud ice mixing ratio","kg/kg","UC_NONE"
24,"SUNS","Sunshine","Numeric","UC_NONE"
25,"CBHE","Horizontal extent of cumulonimbus (CB)","%","UC_NONE"
26,"HCONCB","Height of Convective Cloud Base","m","UC_NONE"
27,"HCONCT","Height of Convective Cloud Top","m","UC_NONE"
