"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/cf3a2a24695f60f64ac9d5eb26a24b26d2a8a816","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"SPFH","Specific humidity","kg/kg","UC_NONE"
1,"RH","Relative humidity","%","UC_NONE"
2,"MIXR","Humidity mixing ratio","kg/kg","UC_NONE"
3,"PWAT","Precipitable water","kg/(m^2)","UC_NONE"
4,"VAPP","Vapor pressure","Pa","UC_NONE"
5,"SATD","Saturation deficit","Pa","UC_NONE"
6,"EVP","Evaporation","kg/(m^2)","UC_InchWater"
7,"PRATE","Precipitation rate","kg/(m^2 s)","UC_NONE"
8,"APCP","Total precipitation","kg/(m^2)","UC_InchWater"
9,"NCPCP","Large scale precipitation","kg/(m^2)","UC_NONE"
10,"ACPCP","Convective precipitation","kg/(m^2)","UC_NONE"
11,"SNOD","Snow depth","m","UC_M2Inch"
12,"SRWEQ","Snowfall rate water equivalent","kg/(m^2 s)","UC_NONE"
13,"WEASD","Water equivalent of accumulated snow depth","kg/(m^2)","UC_NONE"
14,"SNOC","Convective snow","kg/(m^2)","UC_NONE"
15,"SNOL","Large scale snow","kg/(m^2)","UC_NONE"
16,"SNOM","Snow melt","kg/(m^2)","UC_NONE"
17,"SNOAG","Snow age","day","UC_NONE"
18,"ABSH","Absolute humidity","kg/(m^3)","UC_NONE"
19,"PTYPE","Precipitation type","0=No precipitation; 1=Rain; 2=Thunderstorm; 3=Freezing rain; 4=Mixed/ice; 5=Snow; 6=Wet snow; 7=Mixture of rain and snow; 8=Ice pellets; 9=Graupel; 10=Hail; 11=Drizzle; 12=Freezing drizzle; 13-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
20,"ILIQW","Integrated liquid water","kg/(m^2)","UC_NONE"
21,"TCOND","Condensate","kg/kg","UC_NONE"
22,"CLWMR","Cloud mixing ratio","kg/kg","UC_NONE"
23,"ICMR","Ice water mixing ratio","kg/kg","UC_NONE"
24,"RWMR","Rain mixing ratio","kg/kg","UC_NONE"
25,"SNMR","Snow mixing ratio","kg/kg","UC_NONE"
26,"MCONV","Horizontal moisture convergence","kg/(kg s)","UC_NONE"
27,"MAXRH","Maximum relative humidity","%","UC_NONE"
28,"MAXAH","Maximum absolute humidity","kg/(m^3)","UC_NONE"
29,"ASNOW","Total snowfall","m","UC_M2Inch"
30,"PWCAT","Precipitable water category","0-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
31,"HAIL","Hail","m","UC_NONE"
32,"GRLE","Graupel (snow pellets)","kg/kg","UC_NONE"
33,"CRAIN","Categorical rain","0=No; 1=Yes; 2-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
34,"CFRZR","Categorical freezing rain","0=No; 1=Yes; 2-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
