"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/a3711da874bc936639c4e4f26fa91c4b02659e61","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"LAND","Land cover (1=land; 2=sea)","Proportion","UC_NONE"
1,"SFCR","Surface roughness","m","UC_NONE"
2,"TSOIL","Soil temperature","K","UC_NONE"
3,"SOILM","Soil moisture content","kg/(m^2)","UC_NONE"
4,"VEG","Vegetation","%","UC_NONE"
5,"WATR","Water runoff","kg/(m^2)","UC_NONE"
6,"EVAPT","Evapotranspiration","1/(kg^2 s)","UC_NONE"
7,"MTERH","Model terrain height","m","UC_NONE"
8,"LANDU","Land use","0=Reserved; 1=Urban land; 2=Agriculture; 3=Range land; 4=Deciduous forest; 5=Coniferous forest; 6=Forest/wetland; 7=Water; 8=Wetlands; 9=Desert; 10=Tundra; 11=Ice; 12=Tropical forest; 13=Savannah; 14-191=Reserved; 192-254=Reserved for local use; 255=Missing","UC_NONE"
9,"SOILW","Volumetric soil moisture content","Proportion","UC_NONE"
10,"GFLUX","Ground heat flux","W/(m^2)","UC_NONE"
11,"MSTAV","Moisture availability","%","UC_NONE"
12,"SFEXC","Exchange coefficient","(kg/(m^3))(m/s)","UC_NONE"
13,"CNWAT","Plant canopy surface water","kg/(m^2)","UC_NONE"
14,"BMIXL","Blackadar's mixing length scale","m","UC_NONE"
15,"CCOND","Canopy conductance","m/s","UC_NONE"
16,"RSMIN","Minimal stomatal resistance","s/m","UC_NONE"
17,"WILT","Wilting point","Proportion","UC_NONE"
18,"RCS","Solar parameter in canopy conductance","Proportion","UC_NONE"
19,"RCT","Temperature parameter in canopy conductance","Proportion","UC_NONE"
20,"RCSOL","Soil moisture parameter in canopy conductance","Proportion","UC_NONE"
21,"RCQ","Humidity parameter in canopy conductance","Proportion","UC_NONE"
22,"SOILM","Soil moisture","kg/m^3","UC_NONE"
23,"CISOILW","Column-integrated soil water","kg/m^2","UC_NONE"
24,"HFLUX","Heat flux","W/m^2","UC_NONE"
25,"VSOILM","Volumetric soil moisture","m^3/m^3","UC_NONE"
26,"WILT","Wilting point","kg/m^3","UC_NONE"
27,"VWILTM","Volumetric wilting moisture","m^3/m^3","UC_NONE"
28,"LEAINX","Leaf Area Index","Numeric","UC_NONE"
29,"EVGFC","Evergreen Forest Cover","Proportion","UC_NONE"
30,"DECFC","Deciduous Forest Cover","Proportion","UC_NONE"
31,"NDVINX","Normalized Differential Vegetation Index (NDVI)","Numeric","UC_NONE"
32,"RDVEG","Root Depth of Vegetation","m","UC_NONE"
33,"WROD","Water Runoff and Drainage","kg/(m^2)","UC_NONE"
34,"SFCWRO","Surface Water Runoff","kg/(m^2)","UC_NONE"
